combined_col,inference,inference_key,category,activity,reason,recommended_product,uncommonness,sensitivity,overall_recommended_product
YT_search_history,"The user has a focused interest in makeup and beauty products, which implies they may engage in personal grooming and are likely to follow beauty trends.","['focused', 'makeup beauty products']",Beauty,Personal Grooming and Following Beauty Trends,User has a focused interest in makeup and beauty products.,Beauty Subscription Box,4,2,
Image_Search,"The user is interested in health and fitness, particularly in exercises such as pilates, leg raises, and specific dietary options like chicken thighs from Costco.","['exercises', 'pilates', 'leg', 'specific dietary options', 'chicken thighs', 'costco']",Health & Fitness,Exercise and Diet Choices,"User is interested in exercises like pilates and leg raises, and specific dietary options such as chicken thighs from Costco.",Pilates resistance bands set,4,5,Smart garden system for indoor plants
Browser_history,"The user is interested in health and fitness, particularly in exercises such as pilates, leg raises, and specific dietary options like chicken thighs from Costco.","['exercises', 'pilates', 'leg', 'specific dietary options', 'chicken thighs', 'costco']",Health & Fitness,Exercise and Diet Choices,"User is interested in exercises like pilates and leg raises, and specific dietary options such as chicken thighs from Costco.",Pilates resistance bands set,4,5,Smart garden system for indoor plants
Location_history,"The user is interested in health and fitness, particularly in exercises such as pilates, leg raises, and specific dietary options like chicken thighs from Costco.","['exercises', 'pilates', 'leg', 'specific dietary options', 'chicken thighs', 'costco']",Health & Fitness,Exercise and Diet Choices,"User is interested in exercises like pilates and leg raises, and specific dietary options such as chicken thighs from Costco.",Pilates resistance bands set,4,5,Smart garden system for indoor plants
YT_search_history,"The user is interested in health and fitness, particularly in exercises such as pilates, leg raises, and specific dietary options like chicken thighs from Costco.","['exercises', 'pilates', 'leg', 'specific dietary options', 'chicken thighs', 'costco']",Health & Fitness,Exercise and Diet Choices,"User is interested in exercises like pilates and leg raises, and specific dietary options such as chicken thighs from Costco.",Pilates resistance bands set,4,5,Smart garden system for indoor plants
Image_Search,"The user has a strong interest in gardening and plants, evident from their searches about various plant types, gardening strategies, and seeds.","['plant types', 'gardening strategies', 'seeds']",Gardening,Researching plants and gardening strategies,"User searched about various plant types, gardening strategies, and seeds.",Indoor herb garden starter kit,6,3,Smart garden system for indoor plants
Browser_history,"The user has a strong interest in gardening and plants, evident from their searches about various plant types, gardening strategies, and seeds.","['plant types', 'gardening strategies', 'seeds']",Gardening,Researching plants and gardening strategies,"User searched about various plant types, gardening strategies, and seeds.",Indoor herb garden starter kit,6,3,Smart garden system for indoor plants
Location_history,"The user has a strong interest in gardening and plants, evident from their searches about various plant types, gardening strategies, and seeds.","['plant types', 'gardening strategies', 'seeds']",Gardening,Researching plants and gardening strategies,"User searched about various plant types, gardening strategies, and seeds.",Indoor herb garden starter kit,6,3,Smart garden system for indoor plants
YT_search_history,"The user has a strong interest in gardening and plants, evident from their searches about various plant types, gardening strategies, and seeds.","['plant types', 'gardening strategies', 'seeds']",Gardening,Researching plants and gardening strategies,"User searched about various plant types, gardening strategies, and seeds.",Indoor herb garden starter kit,6,3,Smart garden system for indoor plants
Image_Search,"The user is academically inclined, as shown by their focus on Google Docs related to research, submissions, and educational materials.","['google docs', 'research', 'submissions', 'educational materials']",Education,Research and Educational Materials,"User focused on Google Docs related to research, submissions, and educational materials.",High-quality academic planner,7,6,Smart garden system for indoor plants
Browser_history,"The user is academically inclined, as shown by their focus on Google Docs related to research, submissions, and educational materials.","['google docs', 'research', 'submissions', 'educational materials']",Education,Research and Educational Materials,"User focused on Google Docs related to research, submissions, and educational materials.",High-quality academic planner,7,6,Smart garden system for indoor plants
Location_history,"The user is academically inclined, as shown by their focus on Google Docs related to research, submissions, and educational materials.","['google docs', 'research', 'submissions', 'educational materials']",Education,Research and Educational Materials,"User focused on Google Docs related to research, submissions, and educational materials.",High-quality academic planner,7,6,Smart garden system for indoor plants
YT_search_history,"The user is academically inclined, as shown by their focus on Google Docs related to research, submissions, and educational materials.","['google docs', 'research', 'submissions', 'educational materials']",Education,Research and Educational Materials,"User focused on Google Docs related to research, submissions, and educational materials.",High-quality academic planner,7,6,Smart garden system for indoor plants
